review_id,order_id,customer_id,restaurant_id,review_text,rating,review_timestamp
REV-000001,ORD-20250829-811547,CUST-10397,REST-DXB-002,Outstanding experience! The Masala Chai  Chole Bhature  Gulab Jamun (2 pcs)  and Vegetable Biryani exceeded all expectations. Chole Bhature was the star of the meal. Will definitely order again!,5,2025-08-30T19:07:46.043496
REV-000002,ORD-20250830-511192,CUST-10430,REST-AUH-001,Absolutely amazing Gajar Halwa  Gulab Jamun (2 pcs)  and Naan! The Gulab Jamun (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-09-02T22:39:58.043496
REV-000004,ORD-20250901-294244,CUST-10366,REST-AUH-002,Best Indian food in UAE! Lamb Rogan Josh  Garlic Naan  and Aloo Tikki Chaat were incredible. Garlic Naan had the perfect balance of spices. Five stars!,5,2025-09-04T13:28:24.043496
REV-000005,ORD-20250905-796015,CUST-10275,REST-AUH-001,Great food overall. Garlic Naan and Masala Chai were tasty  especially the Masala Chai. Would order again!,4,2025-09-06T18:01:34.043496
REV-000003,ORD-20250831-322466,CUST-10451,REST-DXB-002,Good quality food. Dal Makhani  Masala Chai  Tandoori Roti  and Chicken Tikka Masala were nicely done. Masala Chai could have been slightly spicier but still good!,4,2025-09-07T22:46:49.043496
REV-000008,ORD-20250910-964204,CUST-10285,REST-DXB-001,Expected better. Gulab Jamun (2 pcs)  Vegetable Biryani  and Mango Lassi were subpar. Vegetable Biryani was too oily and greasy. Stomach upset followed.,2,2025-09-12T20:09:25.043496
REV-000009,ORD-20250911-249537,CUST-10074,REST-AUH-001,Outstanding experience! The Fresh Lime Soda exceeded all expectations. Fresh Lime Soda was the star of the meal. Will definitely order again!,5,2025-09-14T14:08:11.043496
REV-000011,ORD-20250913-294187,CUST-10246,REST-AUH-002,Perfect in every way! Fish Curry were all excellent. Fish Curry stood out with its rich  authentic taste.,5,2025-09-15T14:35:24.043496
REV-000006,ORD-20250908-244362,CUST-10150,REST-AUH-002,Unsatisfactory. Malai Kofta were not fresh. Malai Kofta tasted reheated. Won't order again.,2,2025-09-15T15:33:03.043496
REV-000007,ORD-20250909-383242,CUST-10374,REST-DXB-002,Outstanding experience! The Gajar Halwa  Chicken 65  and Chicken Tikka Masala exceeded all expectations. Chicken Tikka Masala was the star of the meal. Will definitely order again!,5,2025-09-15T15:44:17.043496
REV-000012,ORD-20250915-264377,CUST-10284,REST-DXB-001,It was okay. Gulab Jamun (2 pcs)  Paneer Butter Masala  Rasmalai (2 pcs)  and Garlic Naan arrived lukewarm. Garlic Naan tasted fine but could be better.,3,2025-09-17T22:47:58.043496
REV-000010,ORD-20250912-711675,CUST-10492,REST-DXB-002,Exceptional quality! Ordered Lamb Rogan Josh  Tandoori Roti  Chicken 65  and Chicken Seekh Kebab and everything was delicious. The Chicken 65 melted in my mouth. Perfect!,5,2025-09-19T15:25:38.043496
REV-000013,ORD-20250917-801284,CUST-10055,REST-DXB-002,Best Indian food in UAE! Vegetable Biryani and Chicken 65 were incredible. Chicken 65 had the perfect balance of spices. Five stars!,5,2025-09-19T20:04:24.043496
REV-000015,ORD-20250921-436475,CUST-10191,REST-AUH-001,Exceptional quality! Ordered Kulfi and Chicken Tikka Masala and everything was delicious. The Kulfi melted in my mouth. Perfect!,5,2025-09-22T14:55:21.043496
REV-000016,ORD-20250922-450540,CUST-10355,REST-AUH-002,Appalling quality! Mango Lassi  Paneer Butter Masala  Chole Bhature  and Palak Paneer were swimming in oil. Palak Paneer was raw inside. Health hazard!,1,2025-09-25T11:56:31.043496
REV-000014,ORD-20250920-140058,CUST-10106,REST-AUH-001,Pleasant meal! Chicken Biryani  Gulab Jamun (2 pcs)  and Malai Kofta arrived warm. Malai Kofta was tasty though not exceptional. Would order again.,4,2025-09-26T18:16:51.043496
REV-000017,ORD-20250926-886291,CUST-10167,REST-DXB-002,Poor experience. Gajar Halwa and Kulfi were disappointing. Gajar Halwa was burnt on the edges. Very unhappy.,2,2025-09-27T15:14:28.043496
REV-000018,ORD-20250929-224447,CUST-10098,REST-DXB-001,Absolutely amazing Rasmalai (2 pcs)! The Rasmalai (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-10-02T14:35:30.043496
REV-000020,ORD-20251001-963241,CUST-10161,REST-AUH-001,Very satisfied! Gulab Jamun (2 pcs)  Kulfi  Aloo Tikki Chaat  and Chicken Seekh Kebab were fresh and flavorful. Aloo Tikki Chaat was the standout dish.,4,2025-10-02T15:00:17.043496
REV-000021,ORD-20251001-702893,CUST-10405,REST-SHJ-001,Wow! Just wow! Vegetable Biryani  Samosa (2 pcs)  Lamb Rogan Josh  and Dal Makhani were all fantastic. Vegetable Biryani was particularly memorable. Can't wait to order again!,5,2025-10-02T21:33:22.043496
REV-000022,ORD-20251002-467263,CUST-10037,REST-DXB-002,Wow! Just wow! Gajar Halwa  Butter Naan  Palak Paneer  Fish Curry  and Garlic Naan were all fantastic. Palak Paneer was particularly memorable. Can't wait to order again!,5,2025-10-05T18:09:28.043496
REV-000019,ORD-20250930-420146,CUST-10460,REST-DXB-002,Good quality food. Jeera Rice and Paneer Tikka were nicely done. Paneer Tikka could have been slightly spicier but still good!,4,2025-10-06T15:33:44.043496
REV-000023,ORD-20251004-499523,CUST-10128,REST-DXB-002,Mediocre. Chicken Tikka Masala and Gajar Halwa were fine but forgettable. Gajar Halwa didn't stand out.,3,2025-10-10T20:34:50.043496
REV-000029,ORD-20251010-698055,CUST-10334,REST-AUH-002,Absolutely amazing Jeera Rice  Samosa (2 pcs)  Chicken 65  and Kulfi! The Kulfi was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-10-11T15:07:03.043496
REV-000025,ORD-20251006-930060,CUST-10302,REST-SHJ-001,Shocking! Tandoori Roti bore no resemblance to the menu description. Tandoori Roti was inedible. Refund demanded!,1,2025-10-11T22:49:01.043496
REV-000024,ORD-20251006-272282,CUST-10169,REST-AUH-001,Solid experience. Mango Lassi  Fresh Lime Soda  Garlic Naan  and Masala Chai were well-prepared. Masala Chai had great flavor. Minor issues with packaging.,4,2025-10-12T13:39:22.043496
REV-000027,ORD-20251007-828078,CUST-10078,REST-SHJ-001,Decent food but nothing special. Gulab Jamun (2 pcs)  Palak Paneer  Jeera Rice  Naan  and Gajar Halwa were okay. Gajar Halwa lacked the punch I expected.,3,2025-10-12T20:10:08.043496
REV-000026,ORD-20251007-731817,CUST-10436,REST-DXB-001,Pleasant meal! Naan arrived warm. Naan was tasty though not exceptional. Would order again.,4,2025-10-14T10:54:31.043496
REV-000028,ORD-20251008-587714,CUST-10489,REST-AUH-001,Outstanding experience! The Masala Chai  Samosa (2 pcs)  Chicken Tikka Masala  Malai Kofta  and Lamb Rogan Josh exceeded all expectations. Samosa (2 pcs) was the star of the meal. Will definitely order again!,5,2025-10-15T14:05:20.043496
REV-000030,ORD-20251010-499413,CUST-10298,REST-AUH-002,Incredible meal! Tandoori Roti and Samosa (2 pcs) arrived hot and fresh. The Samosa (2 pcs) was absolutely divine. Highly satisfied!,5,2025-10-16T22:25:51.043496
REV-000031,ORD-20251016-941185,CUST-10037,REST-DXB-002,Below expectations. Butter Naan and Chole Bhature were underwhelming. Butter Naan was overcooked and dry.,2,2025-10-17T18:44:24.043496
REV-000032,ORD-20251016-916180,CUST-10119,REST-AUH-002,It was okay. Fish Curry arrived lukewarm. Fish Curry tasted fine but could be better.,3,2025-10-20T19:15:39.043496
REV-000033,ORD-20251019-790300,CUST-10297,REST-DXB-002,It was okay. Samosa (2 pcs)  Paneer Tikka  and Butter Chicken arrived lukewarm. Samosa (2 pcs) tasted fine but could be better.,3,2025-10-26T17:26:11.043496
REV-000035,ORD-20251024-313216,CUST-10220,REST-DXB-002,Exceptional quality! Ordered Aloo Tikki Chaat  Chicken Seekh Kebab  Paneer Tikka  and Jeera Rice and everything was delicious. The Jeera Rice melted in my mouth. Perfect!,5,2025-10-27T17:59:55.043496
REV-000036,ORD-20251024-766042,CUST-10215,REST-DXB-001,Exceptional quality! Ordered Garlic Naan and Samosa (2 pcs) and everything was delicious. The Garlic Naan melted in my mouth. Perfect!,5,2025-10-27T18:21:14.043496
REV-000034,ORD-20251023-467276,CUST-10244,REST-AUH-002,Not good. Butter Naan  Tandoori Roti  and Kulfi arrived late and cold. Butter Naan had barely any flavor. Poor quality.,2,2025-10-29T16:40:13.043496
REV-000037,ORD-20251029-563904,CUST-10418,REST-AUH-001,Perfect in every way! Tandoori Roti were all excellent. Tandoori Roti stood out with its rich  authentic taste.,5,2025-11-02T13:52:00.043496
REV-000038,ORD-20251030-703300,CUST-10286,REST-AUH-002,Wow! Just wow! Butter Chicken  Palak Paneer  and Rasmalai (2 pcs) were all fantastic. Butter Chicken was particularly memorable. Can't wait to order again!,5,2025-11-04T16:20:31.043496
REV-000039,ORD-20251103-568562,CUST-10238,REST-AUH-002,Best Indian food in UAE! Kulfi were incredible. Kulfi had the perfect balance of spices. Five stars!,5,2025-11-05T15:08:16.043496
REV-000040,ORD-20251108-645570,CUST-10051,REST-SHJ-001,Not bad  not great. Paneer Butter Masala and Paneer Tikka were edible. Paneer Butter Masala needed more seasoning.,3,2025-11-11T13:25:30.043496
REV-000041,ORD-20251110-298199,CUST-10103,REST-SHJ-001,Outstanding experience! The Masala Chai  Sweet Lassi  and Chicken Seekh Kebab exceeded all expectations. Chicken Seekh Kebab was the star of the meal. Will definitely order again!,5,2025-11-12T18:49:43.043496
REV-000042,ORD-20251114-260299,CUST-10262,REST-SHJ-001,Incredible meal! Chicken Biryani and Chicken Seekh Kebab arrived hot and fresh. The Chicken Seekh Kebab was absolutely divine. Highly satisfied!,5,2025-11-15T14:29:05.043496
REV-000043,ORD-20251115-719190,CUST-10395,REST-DXB-001,Outstanding experience! The Butter Naan  Malai Kofta  Gulab Jamun (2 pcs)  Garlic Naan  and Fish Curry exceeded all expectations. Garlic Naan was the star of the meal. Will definitely order again!,5,2025-11-16T21:37:30.043496
REV-000044,ORD-20251116-457628,CUST-10107,REST-DXB-001,Decent food but nothing special. Gajar Halwa  Aloo Tikki Chaat  Chicken 65  and Chole Bhature were okay. Chicken 65 lacked the punch I expected.,3,2025-11-17T12:00:21.043496
REV-000045,ORD-20251116-130987,CUST-10196,REST-SHJ-001,Hands down the best Dal Makhani I've ever had! Gulab Jamun (2 pcs)  Gajar Halwa  Fresh Lime Soda  Chole Bhature  and Dal Makhani were all prepared beautifully. Fresh and flavorful!,5,2025-11-18T12:37:31.043496
REV-000048,ORD-20251121-405509,CUST-10180,REST-AUH-001,Average experience. Dal Makhani  Naan  and Chicken 65 were fine but Chicken 65 was a bit bland. Room for improvement.,3,2025-11-22T13:08:35.043496
REV-000049,ORD-20251121-154459,CUST-10437,REST-SHJ-001,Shocking! Paneer Tikka bore no resemblance to the menu description. Paneer Tikka was inedible. Refund demanded!,1,2025-11-23T15:20:29.043496
REV-000046,ORD-20251120-884541,CUST-10274,REST-DXB-002,Really good Malai Kofta  Gajar Halwa  Lamb Rogan Josh  Butter Chicken  and Chicken Biryani! The Chicken Biryani was delicious. Slight delay in delivery but food quality made up for it.,4,2025-11-24T10:39:46.043496
REV-000047,ORD-20251120-295578,CUST-10419,REST-AUH-002,Perfect in every way! Dal Makhani  Gulab Jamun (2 pcs)  and Masala Chai were all excellent. Masala Chai stood out with its rich  authentic taste.,5,2025-11-26T13:10:47.043496
REV-000050,ORD-20251121-151968,CUST-10456,REST-SHJ-001,Absolutely amazing Rasmalai (2 pcs)  Garlic Naan  and Jeera Rice! The Jeera Rice was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-26T19:26:44.043496
REV-000053,ORD-20251126-594910,CUST-10442,REST-DXB-001,Outstanding experience! The Lamb Rogan Josh exceeded all expectations. Lamb Rogan Josh was the star of the meal. Will definitely order again!,5,2025-11-27T16:44:19.043496
REV-000051,ORD-20251123-317959,CUST-10046,REST-DXB-001,Absolutely amazing Aloo Tikki Chaat  Paneer Tikka  Rasmalai (2 pcs)  Malai Kofta  and Vegetable Biryani! The Malai Kofta was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-11-28T11:41:18.043496
REV-000052,ORD-20251124-274620,CUST-10110,REST-AUH-001,Good quality food. Paneer Tikka  Lamb Rogan Josh  and Chicken 65 were nicely done. Paneer Tikka could have been slightly spicier but still good!,4,2025-11-29T19:08:30.043496
REV-000055,ORD-20251129-452033,CUST-10151,REST-AUH-002,Decent food but nothing special. Mango Lassi were okay. Mango Lassi lacked the punch I expected.,3,2025-11-30T11:00:07.043496
REV-000054,ORD-20251128-195088,CUST-10277,REST-SHJ-001,Very satisfied! Chicken Seekh Kebab were fresh and flavorful. Chicken Seekh Kebab was the standout dish.,4,2025-12-01T14:05:03.043496
REV-000056,ORD-20251201-614834,CUST-10150,REST-AUH-001,Hands down the best Palak Paneer I've ever had! Palak Paneer  Butter Naan  Gulab Jamun (2 pcs)  and Aloo Tikki Chaat were all prepared beautifully. Fresh and flavorful!,5,2025-12-02T13:16:47.043496
REV-000057,ORD-20251203-883021,CUST-10371,REST-AUH-002,It was okay. Butter Naan  Chole Bhature  and Fish Curry arrived lukewarm. Fish Curry tasted fine but could be better.,3,2025-12-05T19:08:48.043496
REV-000058,ORD-20251206-390893,CUST-10194,REST-SHJ-001,Best Indian food in UAE! Aloo Tikki Chaat  Rasmalai (2 pcs)  Masala Chai  and Garlic Naan were incredible. Masala Chai had the perfect balance of spices. Five stars!,5,2025-12-12T10:52:54.043496
REV-000059,ORD-20251209-294817,CUST-10467,REST-AUH-002,Incredible meal! Paneer Tikka and Chicken Seekh Kebab arrived hot and fresh. The Chicken Seekh Kebab was absolutely divine. Highly satisfied!,5,2025-12-14T12:17:04.043496
REV-000060,ORD-20251212-799631,CUST-10057,REST-SHJ-001,Average experience. Lamb Rogan Josh  Sweet Lassi  Paneer Butter Masala  and Tandoori Roti were fine but Tandoori Roti was a bit bland. Room for improvement.,3,2025-12-14T19:14:21.043496
REV-000063,ORD-20251217-911662,CUST-10155,REST-DXB-002,Exceptional quality! Ordered Palak Paneer and Kulfi and everything was delicious. The Palak Paneer melted in my mouth. Perfect!,5,2025-12-18T22:54:35.043496
REV-000061,ORD-20251213-570765,CUST-10175,REST-DXB-002,Hands down the best Vegetable Biryani I've ever had! Vegetable Biryani and Chicken Seekh Kebab were all prepared beautifully. Fresh and flavorful!,5,2025-12-20T16:17:39.043496
REV-000062,ORD-20251214-761106,CUST-10446,REST-SHJ-001,Good quality food. Dal Makhani  Mango Lassi  Aloo Tikki Chaat  Vegetable Biryani  and Sweet Lassi were nicely done. Aloo Tikki Chaat could have been slightly spicier but still good!,4,2025-12-21T21:58:59.043496
REV-000065,ORD-20251220-263907,CUST-10409,REST-SHJ-001,Hands down the best Tandoori Roti I've ever had! Paneer Butter Masala  Masala Chai  Tandoori Roti  Chole Bhature  and Palak Paneer were all prepared beautifully. Fresh and flavorful!,5,2025-12-23T12:31:35.043496
REV-000064,ORD-20251219-794952,CUST-10153,REST-AUH-002,Wow! Just wow! Chicken 65 and Palak Paneer were all fantastic. Palak Paneer was particularly memorable. Can't wait to order again!,5,2025-12-25T11:44:55.043496
REV-000066,ORD-20251226-155503,CUST-10228,REST-AUH-002,Absolutely amazing Rasmalai (2 pcs)  Chole Bhature  and Gulab Jamun (2 pcs)! The Rasmalai (2 pcs) was cooked to perfection. Fresh ingredients and authentic flavors. Highly recommend!,5,2025-12-29T10:50:11.043496
REV-000067,ORD-20251227-814025,CUST-10128,REST-DXB-001,Perfect in every way! Palak Paneer  Gajar Halwa  Butter Naan  Lamb Rogan Josh  and Vegetable Biryani were all excellent. Butter Naan stood out with its rich  authentic taste.,5,2025-12-31T21:10:17.043496
REV-000068,ORD-20260115-299962,CUST-10313,REST-AUH-001,Great food overall. Kulfi  Samosa (2 pcs)  Rasmalai (2 pcs)  and Sweet Lassi were tasty  especially the Samosa (2 pcs). Would order again!,4,2026-01-21T15:30:31.043496
REV-000069,ORD-20260116-130540,CUST-10299,REST-DXB-001,Good quality food. Masala Chai were nicely done. Masala Chai could have been slightly spicier but still good!,4,2026-01-22T13:27:23.043496
REV-000070,ORD-20260117-874742,CUST-10225,REST-AUH-002,Really good Chicken Tikka Masala  Fish Curry  Tandoori Roti  and Lamb Rogan Josh! The Tandoori Roti was delicious. Slight delay in delivery but food quality made up for it.,4,2026-01-23T13:15:33.043496
REV-000072,ORD-20260120-202144,CUST-10025,REST-SHJ-001,Very satisfied! Chicken Biryani  Mango Lassi  Naan  and Masala Chai were fresh and flavorful. Chicken Biryani was the standout dish.,4,2026-01-25T16:29:36.043496
REV-000073,ORD-20260120-775622,CUST-10316,REST-AUH-001,Pleasant meal! Naan  Samosa (2 pcs)  Butter Chicken  and Tandoori Roti arrived warm. Tandoori Roti was tasty though not exceptional. Would order again.,4,2026-01-25T21:28:48.043496
REV-000071,ORD-20260119-398551,CUST-10309,REST-DXB-002,Great food overall. Mango Lassi were tasty  especially the Mango Lassi. Would order again!,4,2026-01-26T21:26:43.043496
REV-000075,ORD-20260123-691037,CUST-10149,REST-SHJ-001,Perfect in every way! Sweet Lassi  Butter Chicken  Chole Bhature  and Rasmalai (2 pcs) were all excellent. Butter Chicken stood out with its rich  authentic taste.,5,2026-01-27T12:37:13.043496
REV-000074,ORD-20260122-525242,CUST-10468,REST-AUH-002,Enjoyed the Dal Makhani  Paneer Tikka  and Rasmalai (2 pcs)! Rasmalai (2 pcs) was very good. Portion sizes were generous. Recommend!,4,2026-01-27T17:51:13.043496
